starting at ----> 02:35:42
梵藝術中心 Fine Art Center, Tainan Taiwan
Tainan Art Museum Building 1 (for modern arts), Tainan Taiwan
License Art Gallery, Tainan Taiwan
德鴻畫廊 Der-Horng Art Gallery, Tainan Taiwan
Absolute Art Space, Tainan Taiwan
甘樂阿舍美術館, Tainan Taiwan
182artspace, Tainan Taiwan
Chimei Museum, Tainan Taiwan
臺南市美術館2館, Tainan Taiwan
National Museum of Taiwan Literature, Tainan Taiwan
Kaohsiung Museum of Fine Arts, Tainan Taiwan
筌 Fine arts, Tainan Taiwan
Tainan Judicial Museum, Tainan Taiwan
FANG-YUAN Art Museum, Tainan Taiwan
劉啟祥美術紀念館(劉啟祥故居), Tainan Taiwan
8又二分之一, Tainan Taiwan
Chihkan Tower, Tainan Taiwan
Taijiang National Park, Tainan Taiwan
Soulangh Cultural Park, Tainan Taiwan
Hayashi Department Store, Tainan Taiwan
Arcade Art Gallery, Tainan Taiwan
Aerosol Island Urban Fine Arts (漆島城市藝術), Tainan Taiwan
聽說 Ting Shuo Studio, Tainan Taiwan
National Taiwan Museum of Fine Arts, Tainan Taiwan
臺灣府城隍廟, Tainan Taiwan
Cartier(新光三越西門店), Tainan Taiwan
MONTBLANC, Tainan Taiwan
琢璞藝術中心, Tainan Taiwan
Montblanc Boutique Tainan - Mitsukoshi, Tainan Taiwan
好思當代 嘉義 Haohaus Chiayi, Tainan Taiwan
NUNU FINE ART 路由藝術, Tainan Taiwan
182 Art Space, Tainan Taiwan
Tod's, Tainan Taiwan
Max Mara Tainan Shinkong Mitsukoshi Dept. Store, Tainan Taiwan
Taipei Fine Arts Museum, Tainan Taiwan
家名 資生堂碧麗妃特約店, Tainan Taiwan
成展 資生堂碧麗妃特約店, Tainan Taiwan
UNIQLO 南紡店, Tainan Taiwan
Uniqlo, Tainan Taiwan
Uniqlo, Tainan Taiwan
3M, Tainan Taiwan
UNIQLO 台南德安店, Tainan Taiwan
Gucci(新光三越西門店), Tainan Taiwan
周大福台灣台南新光三越台南新天地分行, Tainan Taiwan
UNIQLO Shin Kong Mitsukoshi Tainan Ximen Store, Tainan Taiwan
台灣荏原精密股份有限公司, Tainan Taiwan
大福百貨 資生堂碧麗妃特約店, Tainan Taiwan
藝時代畫廊 Estyle Gallery, Tainan Taiwan
H&M, Tainan Taiwan
CONVERSE, Tainan Taiwan
大河美術 RIVER ART GALLERY, Tainan Taiwan
FUJIFILM, Tainan Taiwan
Nikon, Tainan Taiwan
Nikon, Tainan Taiwan
EPSON, Tainan Taiwan
CONVERSE, Tainan Taiwan
3M CAR CARE, Tainan Taiwan
Chiayi Municipal Museum, Tainan Taiwan
Kuandu Museum of Fine Arts, Tainan Taiwan
Liang Gallery, Tainan Taiwan
白丰中藝術工作室, Tainan Taiwan
Eslite Gallery, Tainan Taiwan
Soka Art, Tainan Taiwan
亞億藝術空間 AHM Gallery, Tainan Taiwan
Caffaina 卡啡那美術館店, Tainan Taiwan
大未來林舍畫廊, Tainan Taiwan
大觀藝術空間 DaGuan Gallery, Tainan Taiwan
新典藝術中心 Serendipity Art Gallery, Tainan Taiwan
耿畫廊 Tina Keng Gallery, Tainan Taiwan
博藝畫廊, Tainan Taiwan
Chaishan, Tainan Taiwan
明畫廊 Illuminati Fine Art, Tainan Taiwan
TKG+, Tainan Taiwan
Cartier(漢神百貨店), Tainan Taiwan
CONVERSE, Tainan Taiwan
Montblanc Boutique Kaohsiung - Hanshin II, Tainan Taiwan
Alisan Fine Arts, Tainan Taiwan
Calligraphy Greenway, Tainan Taiwan
卡迪亞, Tainan Taiwan
嘉義LG ETT, Tainan Taiwan
National Palace Museum, Tainan Taiwan
Huashan 1914 Creative Park, Tainan Taiwan
肯夢AVEDA, Tainan Taiwan
Kaohsiung Armani Outlet, Tainan Taiwan
Gucci, Tainan Taiwan
BVLGARI 寶格麗漢神店, Tainan Taiwan
Kindness Hotel, Tainan Taiwan
LG高雄服務中心, Tainan Taiwan
周大福台灣高雄夢時代分行, Tainan Taiwan
松山文創園區, Tainan Taiwan
ARMANI OUTLET, Tainan Taiwan
Cinemark, Tainan Taiwan
Converse, Tainan Taiwan
BVLGARI 寶格麗漢神巨蛋店, Tainan Taiwan
周大福台灣高雄大立分行, Tainan Taiwan
Dr.Martens, Tainan Taiwan
EPSON, Tainan Taiwan
卡迪亞, Tainan Taiwan
Dept of Fine Art, Tainan Taiwan
美商優莎納高雄分公司, Tainan Taiwan
H&M, Tainan Taiwan
Gucci(漢神百貨店), Tainan Taiwan
ＶＡＮＳ, Tainan Taiwan
Bershka, Tainan Taiwan
LOUIS VUITTON Hanshin Arena Store, Tainan Taiwan
IKKS, Tainan Taiwan
National Dr. Sun Yat-Sen Memorial Hall, Tainan Taiwan
Pull&Bear, Tainan Taiwan
路易威登高雄漢神百貨, Tainan Taiwan
Max Mara Kaoshiung Hanshin Dept. Store, Tainan Taiwan
Sika, Tainan Taiwan
Montblanc Boutique Kaohsiung - Hanshin, Tainan Taiwan
Museum of Contemporary Art Taipei, Tainan Taiwan
路易威登台南新光三越百貨, Tainan Taiwan
Tainan Municipal Tainan Cultural Center, Tainan Taiwan
stopping at ----> 02:39:34
